2025-09-15 18:56:28,590 -                train: [    INFO] - Training with a single process on 1 GPUs.
2025-09-15 18:56:30,808 -  timm.models.helpers: [    INFO] - Loaded  from checkpoint '/nfs4/wangyb/projects/OFAKD/teacher_checkpoint/swin_tiny_patch4_window7_224_cifar100.pth'
2025-09-15 18:56:31,231 -                train: [    INFO] - Model resnet18_vcaV2 created, param count:13011340
2025-09-15 18:56:31,233 -     timm.data.config: [    INFO] - Data processing configuration for current model + dataset:
2025-09-15 18:56:31,240 -     timm.data.config: [    INFO] - 	input_size: (3, 224, 224)
2025-09-15 18:56:31,240 -     timm.data.config: [    INFO] - 	interpolation: bicubic
2025-09-15 18:56:31,240 -     timm.data.config: [    INFO] - 	mean: (0.485, 0.456, 0.406)
2025-09-15 18:56:31,240 -     timm.data.config: [    INFO] - 	std: (0.229, 0.224, 0.225)
2025-09-15 18:56:31,240 -     timm.data.config: [    INFO] - 	crop_pct: 0.875
2025-09-15 18:56:32,376 -                train: [    INFO] - 
-------------------------------
Learnable parameters
Student: 13.01M
Extra: 0.00M
-------------------------------
2025-09-15 18:56:32,585 -                train: [    INFO] - AMP not enabled. Training in float32.
2025-09-15 18:56:32,585 -                train: [    INFO] - Scheduled epochs: 240
2025-09-15 18:56:37,303 -                train: [    INFO] - Train: 0 [   0/781 (  0%)]  Loss: 60.55 (60.5)  Loss_cat: 5.957 (5.96)  Loss_feat: 49.98 (50.0)  Loss_gt: 4.611 (4.61) LR: 1.000e-04
2025-09-15 18:56:56,324 -                train: [    INFO] - Train: 0 [ 200/781 ( 26%)]  Loss: 56.07 (58.4)  Loss_cat: 4.517 (4.98)  Loss_feat: 46.97 (48.8)  Loss_gt: 4.575 (4.61) LR: 1.000e-04
2025-09-15 18:57:15,495 -                train: [    INFO] - Train: 0 [ 400/781 ( 51%)]  Loss: 51.68 (55.8)  Loss_cat: 4.315 (4.68)  Loss_feat: 42.83 (46.6)  Loss_gt: 4.534 (4.59) LR: 1.000e-04
2025-09-15 18:57:34,490 -                train: [    INFO] - Train: 0 [ 600/781 ( 77%)]  Loss: 48.74 (54.0)  Loss_cat: 4.290 (4.53)  Loss_feat: 39.91 (44.8)  Loss_gt: 4.534 (4.58) LR: 1.000e-04
2025-09-15 18:57:51,641 -                train: [    INFO] - Train: 0 [ 780/781 (100%)]  Loss: 47.52 (52.7)  Loss_cat: 3.874 (4.42)  Loss_feat: 39.11 (43.7)  Loss_gt: 4.538 (4.57) LR: 1.000e-04
2025-09-15 18:57:52,014 -                train: [    INFO] - Test: [   0/156]  Time: 0.367 (0.367)  Loss:  4.4807 (4.4807)  Acc@1:  3.1250 ( 3.1250)  Acc@5: 15.6250 (15.6250)
2025-09-15 18:57:56,473 -                train: [    INFO] - Test: [ 156/156]  Time: 1.416 (0.031)  Loss:  4.4933 (4.5091)  Acc@1:  0.0000 ( 3.4800)  Acc@5: 25.0000 (14.8700)
2025-09-15 18:57:56,810 - timm.utils.checkpoint_saver: [    INFO] - Current checkpoints:
 ('./output/train/20250915-185632-resnet18_vcaV2-224/checkpoint/checkpoint-0.pth.tar', 3.48)

2025-09-15 18:57:57,018 -                train: [    INFO] - Train: 1 [   0/781 (  0%)]  Loss: 46.94 (46.9)  Loss_cat: 3.857 (3.86)  Loss_feat: 38.59 (38.6)  Loss_gt: 4.499 (4.50) LR: 1.673e-02
2025-09-15 18:58:16,204 -                train: [    INFO] - Train: 1 [ 200/781 ( 26%)]  Loss: 43.44 (43.9)  Loss_cat: 3.832 (3.77)  Loss_feat: 35.42 (35.8)  Loss_gt: 4.194 (4.34) LR: 1.673e-02
2025-09-15 18:58:35,323 -                train: [    INFO] - Train: 1 [ 400/781 ( 51%)]  Loss: 42.37 (42.4)  Loss_cat: 3.608 (3.58)  Loss_feat: 34.55 (34.6)  Loss_gt: 4.211 (4.22) LR: 1.673e-02
2025-09-15 18:58:54,443 -                train: [    INFO] - Train: 1 [ 600/781 ( 77%)]  Loss: 39.14 (41.2)  Loss_cat: 3.175 (3.41)  Loss_feat: 31.94 (33.6)  Loss_gt: 4.017 (4.12) LR: 1.673e-02
